Resource Name,Vendor,2013 Total,2012 Total, UCB , UCD , UCI , UCLA , UCM , UCR , UCSD , UCSF , UCSB , UCSC 
ACM Digital Library,Association for Computing Machinery,"174,444","159,467","28,464","9,545","24,489","48,331","1,204","6,810","32,345",700,"13,326","5,353"
Acoustical Society of America Journals (ASA),American Institute of Physics (AIP),"9,663","13,980",577,720,"2,082",332,171,176,"3,869",637,482,522
ACS Online Journals (Web Editions),American Chemical Society (ACS),"1,606,207","1,620,421","408,692","146,048","193,814","249,298","17,271","91,101","232,405","47,123","181,398","39,057"
American Association of Cancer Research Journals,American Association of Cancer Research,"212,441","195,146","29,500","20,280","12,762","50,794",692,,"45,656","45,603","2,161","4,993"
American Association of Physics Teachers (AAPT) journals,American Institute of Physics (AIP),"6,749","9,289","2,037",394,596,210,251,344,"1,132",189,822,489
American Institute of Physics Conference Proceedings,American Institute of Physics (AIP),"7,822","9,540","2,120",483,593,223,170,157,"2,283",75,531,191
American Institute of Physics Online Journals,American Institute of Physics (AIP),"188,210","255,917","25,977","15,009","21,659","8,853","4,772","7,977","36,622","1,369","41,333","5,749"
American Vacuum Society Journals,American Institute of Physics (AIP),"8,289","11,001","1,054",675,624,577,134,311,"1,578",43,"2,092",158
AMS Journals (American Mathematical Society),American Mathematical Society,"25,305","36,081","3,560",783,"1,117","2,489",95,299,"15,414",63,"1,074",411
AMS Journals Online (American Meteorological Society),American Meteorological Society Online,"45,969","32,850","6,963","2,938","5,911","6,083",264,"1,028","18,350",53,"3,115","1,252"
Bentham Science Journals,Bentham Science,,"46,807","10,929","7,483","2,035","9,470",116,,"11,741",,"1,646",
Bepress Online Journals,Berkeley Electronic Press,"19,155","15,939","5,090",736,"1,039","2,817",60,304,"6,669",935,"1,011",451
BMJ Journals Online,BMJ Publishing Group,"170,246","171,392","18,780","19,884","13,470","39,729",749,"2,548","36,535","35,822","1,656","1,073"
British Medical Journal,BMJ Publishing Group,"82,496","77,493","7,695","7,736","5,753","18,581",408,"1,735","23,474","15,414","1,059",641
Cambridge Journals Online,Cambridge University Press ,"226,825","232,382","51,909","29,222","16,502","43,207","3,161","9,475","38,479","7,556","16,760","7,779"
Chemical and Engineering News Online (C&EN Online),American Chemical Society (ACS),"678,549","519,514","159,217","57,198","79,840","111,625","8,089","34,216","94,281","18,149","57,296","12,567"
Cochrane Library,John Wiley & Sons,"37,655","37,794","2,463","4,311","3,350","9,144",125,255,"5,740","11,532",221,139
Company of Biologists [Journals],Company of Biologists,"171,714","235,100","29,767","16,801","13,047","27,700","1,524","5,754","34,901","30,951","6,278","4,991"
Comprehensive Physiology,John Wiley & Sons,"3,577","2,941",290,965,298,548,115,51,849,205,110,96
Current Protocols Collection (Current Protocols in Cell Biology; Current Protocols in Cytometry; Current Protocols in Human Genetics; Current Protocols in Immunology; Current Protocols in Molecular Biology; Current Protocols in Neuroscience; Current Protocols in Nucleic Acid Chemistry; urrent Protocols in Pharmacology; Current Protocols in Protein Science; Current Protocols in Toxicology),John Wiley & Sons,"34,512","47,107","3,405","4,042","2,823","5,619",335,685,"9,694","6,076",678,432
Current Protocols in Bioinformatics ,John Wiley & Sons,"1,601","1,820",163,119,46,427,9,26,512,230,15,38
Current Protocols in Microbiology,John Wiley & Sons,993,"1,866",199,117,61,222,8,10,170,173,6,10
Duke University Press Electronic Journals,Duke University Press,"42,305","49,817","10,795","3,472","4,249","8,828",452,"3,437","5,066",,"3,348","2,658"
e-EROS  (Encyclopedia of Reagents for Organic Synthesis),John Wiley & Sons,"5,567","7,967","1,319",258,"1,051","1,342",4,8,802,102,626,10
Encyclopedia of Biostatistics,John Wiley & Sons,933,"2,831",347,89,64,179,5,15,100,62,39,20
Handbooks in Economics,Elsevier B.V.,379,380,74,46,26,30,1,17,99,1,24,61
IEEE Xplore,IEEE,"384,161","355,344","57,135","41,485","45,015","75,734","2,769","12,577","84,023","3,274","37,116","10,629"
Institute of Physics Online Journals,Institute of Physics (IoP),"274,316","291,550","79,565","21,781","24,864","40,429","3,822","11,893","38,843","3,261","26,866","22,992"
International Encyclopedia of the Social & Behavioral Sciences,Elsevier B.V.,"3,673","10,316",840,,148,737,19,15,"1,912",2,,
