Montana State University Libraries,,,,,,
EJOURNAL STATISTICS TOTALS FY 2008,,,,,,
(Not all vendors report use data in all categories),,,,,,
,,,,,,
,,,,,,
RESOURCE,LOGINS,SEARCHES,RETRIEVALS,ARTICLES,PAGEVIEWS,
,,,,,,
Academic Press,0,0,0,4091,0,
Academic Search Premier,33369,57272,0,0,0,
ACM,0,0,0,0,0,
Agricola,1527,5490,0,0,0,
AGU,20,2385,0,0,0,
AIP/APS,0,0,0,6908,0,
AIP/APS,862,1261,0,0,0,
American Chemical Society,1210,9523,11220,0,0,
Anthropological Literature,613,1335,0,0,0,
Applied Science & Technology Abstracts,40,54,0,0,0,
Art Abstracts,300,725,0,0,0,
ARTstor,377,4173,0,0,0,
ASCE,0,0,0,0,0,
ASME,0,0,0,0,0,
Avery Index,1710,3217,0,0,0,
Beilstein & Gmelin,936,2301,0,0,0,
Bibliography of Native North Americans,440,"1,336",0,0,0,
Biography & Genealogy Master Index,84,131,0,0,0,
Biological & Agricultural Index,1172,3024,0,0,0,
Biological Abstracts,1050,3182,0,0,0,
BioOne,2044,346,0,0,0,
Blackwell,26744,3189,0,0,0,
Book Review Index Online Plus,139,387,0,0,0,
Books in Print,705,2777,0,0,0,
Business Source Premier,10238,23951,0,0,0,
CAB Direct,4340,4639,0,0,0,
Cambridge Journals Online,0,2378,0,0,0,
CCH Tax Research Network,0,0,0,0,0,
Choice Reviews Online,73,0,0,0,0,
CINAHL,8646,32738,0,0,0,
Cochrane Library,488,545,0,0,0,
CQ Electronic Library,1186,1585,0,0,0,
Criminal Justice Abstracts,0,2010,0,0,0,
CSA Environment Group,754,9278,0,0,0,
CSIRO,0,237,0,0,0,
Current Index to Statistics,0,0,0,0,0,
EconLit (FirstSearch),1489,3129,0,0,0,
Ei Compendex,1728,7000,0,0,0,
Elsevier,0,0,0,39042,0,
Emerald,731,66,0,0,0,
ERIC (FirstSearch),5376,13347,0,0,0,
Fish & Fisheries Worldwide,466,1461,0,0,0,
Foundation Directory Online,0,0,0,0,0,
Gale Literary Databases,692,980,0,0,0,
GeoRef,3503,9232,0,0,0,
GPO Monthly Catalog (FirstSearch),420,692,0,0,0,
Granger's World of Poetry,0,0,0,0,0,
Grove Music,843,1896,0,0,0,
HaPI,316,557,0,0,0,
Historical Abstracts,358,425,0,0,0,
Hoover's,0,0,0,0,0,
ICPSR ,0,0,0,0,0,
IEEE,0,5332,0,5569,0,
Infotrac Business & Company ASAP & Backfile,2604,6547,0,0,0,
InfoTrac Business & Company Resource Center,1833,11804,0,0,0,
InfoTrac Computer Database ,2363,4957,0,0,0,
InfoTrac Custom Newspapers,33792,67455,0,0,0,
InfoTrac Expanded Academic,13990,18641,0,0,0,
InfoTrac General Reference Center,1806,4429,0,0,0,
InfoTrac Health & Wellness Resources Center,3192,8321,0,0,0,
InfoTrac Health Reference Center,9637,12617,0,0,0,
InfoTrac LegalTrac,4256,6732,0,0,0,
InfoTrac MLA Intl Bibliography,1554,3960,0,0,0,
InfoTrac OneFile,41425,76454,0,0,0,
Inspec,664,2510,0,0,0,
Institute of Physics,0,0,0,945,0,
Journals @ OVID,7969,4302,0,0,0,
JSTOR,0,54448,0,88200,0,
Knovel ,1165,988,0,0,0,
LexisNexis Academic,0,19391,20441,0,0,
LexisNexis Congressional,0,443,2862,0,0,
LISA,0,1521,0,0,0,
MADCAD,7414,0,0,0,0,
Mary Ann Liebert,1140,136,0,0,0,
MathSciNet,941,1624,0,0,0,
Medline (FirstSearch),1666,4120,0,0,0,
Mental Measurements Yearbook,333,746,0,0,0,
Mergent Online,829,1879,0,0,0,
MUSE,2495,458,0,0,0,
Nature,0,1371,0,7530,0,
Oxford English Dictionary,2130,5763,0,0,0,
Oxford Reference Online,469,1362,0,0,0,
Philosopher's Index,0,1851,0,0,0,
PROMT,210,420,0,0,0,
PsycInfo ,551,20519,0,0,0,
Public Documents Masterfile,,,,,,
Religious & Theological Abstracts,0,0,0,0,0,
RIA Tax,0,0,0,0,0,
Sage Publications,0,10803,0,0,0,
Science,0,2645,10077,0,0,
SciFinder Scholar,3011,7784,0,0,0,
Sociological Abstracts,0,12029,0,0,0,
SPORTDiscus,265,759,0,0,0,
Springer,0,0,0,16378,0,
UlrichsWeb,817,1466,0,0,0,
Web of Science,11805,49749,0,0,0,
Wildlife & Ecology Worldwide,1006,3171,0,0,0,
Wiley,0,125,0,7015,0,
WorldCat (FirstSearch),4939,12706,0,0,0,
Zoological Record,433,1385,0,0,0,
,,,,,,
TOTALS,281693,671977,44600,175678,0,
,,,,,,
Per minute activy,1.9,2.8,6.2,3.5,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
